,Accuracy,Model,Layer,Task
4,54.47,PIXEL,4,BShift
5,60.21,PIXEL,5,BShift
6,67.3,PIXEL,6,BShift
7,70.98,PIXEL,7,BShift
8,74.53,PIXEL,8,BShift
9,79.31,PIXEL,9,BShift
10,79.93,PIXEL,10,BShift
11,79.84,PIXEL,11,BShift
12,79.87,PIXEL,12,BShift
1,51.06,ViT-mae,1,BShift
2,50.37,ViT-mae,2,BShift
3,50.94,ViT-mae,3,BShift
4,50.62,ViT-mae,4,BShift
5,51.23,ViT-mae,5,BShift
6,50.94,ViT-mae,6,BShift
7,50.9,ViT-mae,7,BShift
8,50.86,ViT-mae,8,BShift
9,50.96,ViT-mae,9,BShift
10,50.59,ViT-mae,10,BShift
11,50.93,ViT-mae,11,BShift
12,50.22,ViT-mae,12,BShift
1,50.0,Baseline,1,BShift
2,50.0,Baseline,2,BShift
3,50.0,Baseline,3,BShift
4,50.0,Baseline,4,BShift
5,50.0,Baseline,5,BShift
6,50.0,Baseline,6,BShift
7,50.0,Baseline,7,BShift
8,50.0,Baseline,8,BShift
9,50.0,Baseline,9,BShift
10,50.0,Baseline,10,BShift
11,50.0,Baseline,11,BShift
12,50.0,Baseline,12,BShift
1,50.68,PIXEL-bigrams,1,BShift
2,50.82,PIXEL-bigrams,2,BShift
3,52.38,PIXEL-bigrams,3,BShift
4,53.52,PIXEL-bigrams,4,BShift
5,54.6,PIXEL-bigrams,5,BShift
6,55.62,PIXEL-bigrams,6,BShift
7,56.66,PIXEL-bigrams,7,BShift
8,56.71,PIXEL-bigrams,8,BShift
9,56.7,PIXEL-bigrams,9,BShift
10,56.77,PIXEL-bigrams,10,BShift
11,56.55,PIXEL-bigrams,11,BShift
12,56.02,PIXEL-bigrams,12,BShift
1,51.11,PIXEL-MNLI,1,BShift
2,51.57,PIXEL-MNLI,2,BShift
3,52.37,PIXEL-MNLI,3,BShift
4,55.92,PIXEL-MNLI,4,BShift
5,61.41,PIXEL-MNLI,5,BShift
6,67.45,PIXEL-MNLI,6,BShift
7,69.54,PIXEL-MNLI,7,BShift
8,70.68,PIXEL-MNLI,8,BShift
9,72.32,PIXEL-MNLI,9,BShift
10,71.68,PIXEL-MNLI,10,BShift
11,71.0,PIXEL-MNLI,11,BShift
12,70.03,PIXEL-MNLI,12,BShift
1,87.44,BERT,1,Tense
2,88.4,BERT,2,Tense
3,89.12,BERT,3,Tense
4,89.28,BERT,4,Tense
5,89.46,BERT,5,Tense
6,89.66,BERT,6,Tense
7,89.71,BERT,7,Tense
8,90.11,BERT,8,Tense
9,90.32,BERT,9,Tense
10,90.61,BERT,10,Tense
11,90.41,BERT,11,Tense
12,90.42,BERT,12,Tense
1,75.55,PIXEL,1,Tense
2,80.44,PIXEL,2,Tense
3,85.27,PIXEL,3,Tense
4,86.29,PIXEL,4,Tense
5,87.27,PIXEL,5,Tense
6,87.54,PIXEL,6,Tense
7,88.61,PIXEL,7,Tense
8,89.07,PIXEL,8,Tense
9,89.02,PIXEL,9,Tense
10,89.14,PIXEL,10,Tense
11,88.95,PIXEL,11,Tense
