,Accuracy,Model,Layer,Task
1,93.33,BERT,1,WC
2,91.72,BERT,2,WC
3,89.17,BERT,3,WC
4,86.42,BERT,4,WC
5,83.02,BERT,5,WC
6,79.1,BERT,6,WC
7,75.83,BERT,7,WC
8,72.42,BERT,8,WC
9,67.95,BERT,9,WC
10,63.91,BERT,10,WC
11,62.29,BERT,11,WC
12,59.79,BERT,12,WC
1,2.1,PIXEL-small,1,WC
2,3.02,PIXEL-small,2,WC
3,2.58,PIXEL-small,3,WC
4,3.11,PIXEL-small,4,WC
5,4.52,PIXEL-small,5,WC
6,4.73,PIXEL-small,6,WC
7,5.77,PIXEL-small,7,WC
8,6.4,PIXEL-small,8,WC
9,6.51,PIXEL-small,9,WC
10,6.1,PIXEL-small,10,WC
11,5.9,PIXEL-small,11,WC
12,5.17,PIXEL-small,12,WC
1,3.86,ViT-mae,1,WC
2,4.21,ViT-mae,2,WC
3,5.11,ViT-mae,3,WC
4,5.6,ViT-mae,4,WC
5,5.67,ViT-mae,5,WC
6,6.2,ViT-mae,6,WC
7,5.7,ViT-mae,7,WC
8,5.72,ViT-mae,8,WC
9,5.54,ViT-mae,9,WC
10,5.41,ViT-mae,10,WC
11,4.22,ViT-mae,11,WC
12,2.64,ViT-mae,12,WC
1,0.1,Baseline,1,WC
2,0.1,Baseline,2,WC
3,0.1,Baseline,3,WC
4,0.1,Baseline,4,WC
5,0.1,Baseline,5,WC
6,0.1,Baseline,6,WC
7,0.1,Baseline,7,WC
8,0.1,Baseline,8,WC
9,0.1,Baseline,9,WC
10,0.1,Baseline,10,WC
11,0.1,Baseline,11,WC
12,0.1,Baseline,12,WC
1,35.91,PIXEL-small-words,1,WC
2,46.84,PIXEL-small-words,2,WC
3,57.32,PIXEL-small-words,3,WC
4,63.26,PIXEL-small-words,4,WC
5,64.22,PIXEL-small-words,5,WC
6,62.75,PIXEL-small-words,6,WC
7,62.56,PIXEL-small-words,7,WC
8,59.56,PIXEL-small-words,8,WC
9,57.02,PIXEL-small-words,9,WC
10,53.9,PIXEL-small-words,10,WC
11,50.96,PIXEL-small-words,11,WC
12,41.51,PIXEL-small-words,12,WC
1,2.71,PIXEL-small-bigrams,1,WC
2,2.96,PIXEL-small-bigrams,2,WC
3,3.0,PIXEL-small-bigrams,3,WC
4,2.86,PIXEL-small-bigrams,4,WC
5,2.96,PIXEL-small-bigrams,5,WC
6,2.82,PIXEL-small-bigrams,6,WC
7,2.77,PIXEL-small-bigrams,7,WC
8,2.61,PIXEL-small-bigrams,8,WC
9,2.8,PIXEL-small-bigrams,9,WC
10,2.83,PIXEL-small-bigrams,10,WC
11,2.54,PIXEL-small-bigrams,11,WC
12,2.4,PIXEL-small-bigrams,12,WC
1,37.21,BERT,1,TreeDepth
2,39.99,BERT,2,TreeDepth
3,40.96,BERT,3,TreeDepth
4,42.15,BERT,4,TreeDepth
5,43.03,BERT,5,TreeDepth
6,42.29,BERT,6,TreeDepth
7,42.29,BERT,7,TreeDepth
8,42.53,BERT,8,TreeDepth
9,41.04,BERT,9,TreeDepth
10,40.17,BERT,10,TreeDepth
11,39.01,BERT,11,TreeDepth
12,37.26,BERT,12,TreeDepth
1,22.83,PIXEL-small,1,TreeDepth
2,24.02,PIXEL-small,2,TreeDepth
3,24.79,PIXEL-small,3,TreeDepth
4,24.63,PIXEL-small,4,TreeDepth
5,26.48,PIXEL-small,5,TreeDepth
6,25.0,PIXEL-small,6,TreeDepth
7,25.27,PIXEL-small,7,TreeDepth
8,24.9,PIXEL-small,8,TreeDepth
9,24.46,PIXEL-small,9,TreeDepth
10,24.48,PIXEL-small,10,TreeDepth
11,24.55,PIXEL-small,11,TreeDepth
12,23.63,PIXEL-small,12,TreeDepth
1,24.05,ViT-mae,1,TreeDepth
2,24.7,ViT-mae,2,TreeDepth
3,24.51,ViT-mae,3,TreeDepth
4,25.05,ViT-mae,4,TreeDepth
5,25.18,ViT-mae,5,TreeDepth
6,24.74,ViT-mae,6,TreeDepth
7,24.59,ViT-mae,7,TreeDepth
8,23.75,ViT-mae,8,TreeDepth
9,24.66,ViT-mae,9,TreeDepth
10,24.23,ViT-mae,10,TreeDepth
11,24.12,ViT-mae,11,TreeDepth
12,22.45,ViT-mae,12,TreeDepth
1,17.88,Baseline,1,TreeDepth
2,17.88,Baseline,2,TreeDepth
3,17.88,Baseline,3,TreeDepth
4,17.88,Baseline,4,TreeDepth
5,17.88,Baseline,5,TreeDepth
6,17.88,Baseline,6,TreeDepth
7,17.88,Baseline,7,TreeDepth
8,17.88,Baseline,8,TreeDepth
9,17.88,Baseline,9,TreeDepth
10,17.88,Baseline,10,TreeDepth
11,17.88,Baseline,11,TreeDepth
12,17.88,Baseline,12,TreeDepth
1,28.42,PIXEL-small-words,1,TreeDepth
2,30.7,PIXEL-small-words,2,TreeDepth
3,33.01,PIXEL-small-words,3,TreeDepth
4,35.26,PIXEL-small-words,4,TreeDepth
5,36.17,PIXEL-small-words,5,TreeDepth
6,37.83,PIXEL-small-words,6,TreeDepth
7,38.71,PIXEL-small-words,7,TreeDepth
8,39.34,PIXEL-small-words,8,TreeDepth
9,39.02,PIXEL-small-words,9,TreeDepth
10,39.76,PIXEL-small-words,10,TreeDepth
11,39.41,PIXEL-small-words,11,TreeDepth
12,38.48,PIXEL-small-words,12,TreeDepth
1,22.73,PIXEL-small-bigrams,1,TreeDepth
2,22.3,PIXEL-small-bigrams,2,TreeDepth
3,21.81,PIXEL-small-bigrams,3,TreeDepth
4,21.68,PIXEL-small-bigrams,4,TreeDepth
5,22.07,PIXEL-small-bigrams,5,TreeDepth
6,21.41,PIXEL-small-bigrams,6,TreeDepth
7,21.82,PIXEL-small-bigrams,7,TreeDepth
8,21.86,PIXEL-small-bigrams,8,TreeDepth
9,21.51,PIXEL-small-bigrams,9,TreeDepth
10,21.17,PIXEL-small-bigrams,10,TreeDepth
11,21.41,PIXEL-small-bigrams,11,TreeDepth
12,21.55,PIXEL-small-bigrams,12,TreeDepth
1,52.54,BERT,1,BShift
2,71.37,BERT,2,BShift
3,82.55,BERT,3,BShift
4,84.88,BERT,4,BShift
5,87.07,BERT,5,BShift
6,88.27,BERT,6,BShift
7,89.78,BERT,7,BShift
8,90.78,BERT,8,BShift
9,90.82,BERT,9,BShift
10,90.21,BERT,10,BShift
11,89.75,BERT,11,BShift
12,89.0,BERT,12,BShift
1,50.65,PIXEL-small,1,BShift
2,50.22,PIXEL-small,2,BShift
3,50.62,PIXEL-small,3,BShift
4,50.38,PIXEL-small,4,BShift
5,50.63,PIXEL-small,5,BShift
6,50.69,PIXEL-small,6,BShift
7,51.1,PIXEL-small,7,BShift
8,51.75,PIXEL-small,8,BShift
9,51.52,PIXEL-small,9,BShift
10,51.72,PIXEL-small,10,BShift
